DEPARTAMENTO,period,MONTO_DEVENGADO
HUANCAVELICA,2019-06-01,464731.68
HUANCAVELICA,2019-07-01,376548.75
HUANCAVELICA,2019-08-01,461876.23
HUANCAVELICA,2019-09-01,475834.66
HUANCAVELICA,2019-10-01,435009.01
HUANCAVELICA,2019-11-01,392757.73
HUANCAVELICA,2019-12-01,1223445.36
HUANCAVELICA,2020-01-01,323164.47
HUANCAVELICA,2020-02-01,344875.62
HUANCAVELICA,2020-03-01,387854.72
HUANCAVELICA,2020-04-01,247251.72
HUANCAVELICA,2020-05-01,427315.97
HUANCAVELICA,2020-06-01,481083.46
HUANCAVELICA,2020-07-01,880098.66
HUANCAVELICA,2020-08-01,569929.76
HUANCAVELICA,2020-09-01,530887.29
HUANCAVELICA,2020-10-01,860474.38
HUANCAVELICA,2020-11-01,642945.86
HUANCAVELICA,2020-12-01,1912040.12
HUANCAVELICA,2021-01-01,162014.96
HUANCAVELICA,2021-02-01,400923.25
HUANCAVELICA,2021-03-01,1263076.32
HUANCAVELICA,2021-04-01,667235.35
HUANCAVELICA,2021-05-01,537959.3
HUANCAVELICA,2021-07-01,957346.1
HUANCAVELICA,2021-08-01,643332.84
HUANCAVELICA,2021-09-01,866538.5499999999
HUANCAVELICA,2021-10-01,1599104.55
HUANCAVELICA,2021-11-01,546676.42
HUANCAVELICA,2021-12-01,1112421.6
HUANCAVELICA,2022-01-01,132645.32
HUANCAVELICA,2022-02-01,304757.37
HUANCAVELICA,2022-03-01,603286.34
HUANCAVELICA,2022-04-01,521628.61
HUANCAVELICA,2022-05-01,656623.62
HUANCAVELICA,2022-06-01,603264.42
HUANCAVELICA,2022-07-01,629102.64
HUANCAVELICA,2022-08-01,661973.3099999999
HUANCAVELICA,2022-09-01,553068.01
HUANCAVELICA,2022-10-01,519860.93
HUANCAVELICA,2022-11-01,610564.78
HUANCAVELICA,2022-12-01,1742646.42
HUANCAVELICA,2023-01-01,108174.56
HUANCAVELICA,2023-02-01,323486.23
HUANCAVELICA,2023-03-01,2538386.1500000004
HUANCAVELICA,2023-05-01,2137761.65
HUANCAVELICA,2023-06-01,2747154.17
HUANCAVELICA,2023-07-01,1231491.45
HUANCAVELICA,2023-08-01,765324.72
HUANCAVELICA,2023-09-01,1105989.73
HUANCAVELICA,2023-10-01,685724.0599999999
HUANCAVELICA,2023-11-01,522051.97
HUANCAVELICA,2023-12-01,2173757.65
HUANCAVELICA,2024-01-01,173487.66999999998
HUANCAVELICA,2024-02-01,392508.14
HUANCAVELICA,2024-03-01,681869.68
HUANCAVELICA,2024-04-01,644315.11
HUANCAVELICA,2024-05-01,1027335.41
HUANCAVELICA,2024-06-01,614866.51
HUANCAVELICA,2024-07-01,1047283.14
HUANCAVELICA,2024-08-01,696409.87
HUANCAVELICA,2024-09-01,716572.74
HUANCAVELICA,2024-10-01,661860.68
HUANCAVELICA,2024-11-01,1103440.56
HUANCAVELICA,2024-12-01,2704088.14
HUANCAVELICA,2025-01-01,294746.21
HUANCAVELICA,2025-02-01,497713.01
HUANCAVELICA,2025-03-01,533001.87
HUANCAVELICA,2025-04-01,718965.45
HUANCAVELICA,2025-05-01,882701.5599999999
HUANCAVELICA,2025-06-01,864018.93
HUANCAVELICA,2025-07-01,912832.13
HUANCAVELICA,2025-08-01,778161.9
HUANUCO,2019-01-01,285652.73
HUANUCO,2019-02-01,1393793.63
HUANUCO,2019-03-01,905388.0
HUANUCO,2019-04-01,1063342.63
HUANUCO,2019-05-01,1327332.41
HUANUCO,2019-06-01,1032139.6900000001
HUANUCO,2019-07-01,1304731.17
HUANUCO,2019-08-01,1054631.79
HUANUCO,2019-09-01,881641.8200000001
HUANUCO,2019-10-01,1144834.83
HUANUCO,2019-11-01,1109567.54
HUANUCO,2019-12-01,1469158.27
HUANUCO,2020-01-01,649478.6900000001
HUANUCO,2020-02-01,930885.03
HUANUCO,2020-03-01,1200345.45
HUANUCO,2020-04-01,776723.29
HUANUCO,2020-05-01,1102228.01
HUANUCO,2020-06-01,1219473.75
HUANUCO,2020-07-01,1866264.58
HUANUCO,2020-08-01,1366712.1
HUANUCO,2020-09-01,1722853.99
HUANUCO,2020-10-01,1534277.86
HUANUCO,2020-11-01,1746842.96
HUANUCO,2020-12-01,3872025.19
HUANUCO,2021-01-01,420992.97000000003
HUANUCO,2021-02-01,882189.69
HUANUCO,2021-03-01,1562222.79
HUANUCO,2021-04-01,969439.85
HUANUCO,2021-05-01,1230230.18
HUANUCO,2021-06-01,1214367.05
HUANUCO,2021-07-01,1315390.22
HUANUCO,2021-08-01,1122511.28
HUANUCO,2021-09-01,1266873.97
HUANUCO,2021-10-01,985243.65
HUANUCO,2021-11-01,1143426.31
HUANUCO,2021-12-01,1986683.83
